NumDots,UrlLength,NumDash,AtSymbol,IpAddress,HttpsHostname,PathLength,NumChars,Phishing
1,51,4,0,0,0,51,1,0
1,61,0,0,0,0,61,1,0
2,123,1,0,0,0,29,1,0
3,90,1,0,0,0,10,1,0
1,67,2,0,0,0,67,1,0
8,108,1,0,0,0,62,1,0
1,76,5,0,0,0,76,1,0
3,107,0,0,0,0,10,1,0
3,52,0,0,0,0,26,0,0
2,70,1,0,0,0,35,0,0
3,79,0,0,0,0,31,1,0
2,89,4,0,0,0,49,1,0
4,100,4,0,0,0,74,1,0
1,23,0,0,0,0,23,0,0
1,21,0,0,0,0,21,0,0
5,132,0,0,0,0,10,1,0
1,43,1,0,0,0,43,1,0
2,29,0,0,0,0,29,0,0
3,74,0,0,0,0,10,1,0
3,118,3,0,0,0,10,1,0
1,48,0,0,0,0,48,0,0
2,53,1,0,0,0,24,1,0
1,53,4,0,0,0,53,1,0
1,66,6,0,0,0,66,1,0
1,99,10,0,0,0,81,0,0
1,11,0,0,0,0,11,0,0
3,62,2,0,0,0,62,1,0
4,100,0,0,0,0,10,1,0
1,36,1,0,0,0,36,0,0
2,30,0,0,0,0,30,0,0
2,130,13,0,0,0,130,1,0
2,52,0,0,0,0,52,0,0
3,79,4,0,0,0,52,1,0
1,18,0,0,0,0,18,0,0
4,57,1,0,0,0,26,0,0
2,62,5,0,0,0,62,0,0
1,33,0,0,0,0,33,1,0
2,94,0,0,0,0,94,1,0
3,135,11,0,0,0,114,1,0
2,33,0,0,0,0,21,1,0
2,151,16,0,0,0,114,1,0
2,46,2,0,0,0,34,0,0
